protGroups,mean,q
sp|P62826|RAN_HUMAN,1.18801825976874,0.00605275852399103
sp|P52948|NUP98_HUMAN,1.17997601709263,0.0143246680449721
sp|Q63HN8|RN213_HUMAN;sp|P53992|SC24C_HUMAN,1.17518874207849,0.00234345992776242
sp|O75410|TACC1_HUMAN;sp|O95359|TACC2_HUMAN,1.16139846674722,0.00102005024298922
sp|Q96KQ4|ASPP1_HUMAN,1.14704880791882,0.00197905310891352
sp|Q9UHD2|TBK1_HUMAN,1.14595530660061,0.00935857979676247
sp|Q6Y1H2|HACD2_HUMAN,1.14551218332513,0.00816372399317119
sp|Q9H3F6|BACD3_HUMAN,1.13371097416867,0.00841186361607315
sp|Q8N1F7|NUP93_HUMAN,1.11618745662053,0.0117552614683417
sp|Q4KMQ2|ANO6_HUMAN,1.09612262008713,0.00376625652200762
sp|Q8N7W2|BEND7_HUMAN,1.0926089638418,0.00320858448147074
sp|Q8WUY1|THEM6_HUMAN,1.07762329073775,0.0180742854713116
sp|P52292|IMA1_HUMAN,1.07389960368831,0.00294674217139449
sp|P04637|P53_HUMAN,1.06290540172767,0.010885932955698
sp|Q14331|FRG1_HUMAN,1.04837316383879,0.00843957538168474
sp|O94923|GLCE_HUMAN,1.04454493033396,0.00275102923639263
sp|Q9NS91|RAD18_HUMAN,1.04250078377029,0.00244455034636329
sp|Q8IX21|SLF2_HUMAN,1.03849615900896,0.00102005024298922
sp|Q92804|RBP56_HUMAN,1.0211737157022,0.0191302323697907
sp|O43852|CALU_HUMAN,1.01408848775054,0.00600617240308962
sp|Q9NVI7|ATD3A_HUMAN;sp|Q5T9A4|ATD3B_HUMAN;sp|Q5T2N8|ATD3C_HUMAN,1.0013552224182,0.00382926220443965
sp|Q86VM9|ZCH18_HUMAN,-1.00056779657213,0.00860355213758649
sp|P11047|LAMC1_HUMAN,-1.00441121060419,0.00908380121186257
sp|P13667|PDIA4_HUMAN,-1.00856453409852,0.00613970698366165
sp|Q99959|PKP2_HUMAN,-1.01814545078463,0.00779811356732392
sp|Q9UPQ0|LIMC1_HUMAN,-1.02743410507512,0.00605275852399103
sp|O95232|LC7L3_HUMAN,-1.03476462725668,0.00905806845009829
sp|Q05519|SRS11_HUMAN,-1.04279522270063,0.00291139863024136
sp|P53999|TCP4_HUMAN,-1.05207135498691,0.0172199926346161
sp|Q99714|HCD2_HUMAN,-1.06051845687595,0.00878499906944913
sp|P62269|RS18_HUMAN,-1.06839377730679,0.0113426904344761
sp|P61289|PSME3_HUMAN,-1.0799405708048,0.00376625652200762
sp|Q9NWB6|ARGL1_HUMAN,-1.08138338998204,0.00561660037547934
sp|Q8N5F7|NKAP_HUMAN,-1.09095414903015,0.00244455034636329
sp|Q8WWI1|LMO7_HUMAN,-1.09574155360564,0.00757445402338757
sp|Q13263|TIF1B_HUMAN,-1.10051181117177,0.00561660037547934
sp|Q92736|RYR2_HUMAN,-1.10578443062396,0.014541917807379
sp|Q12874|SF3A3_HUMAN,-1.11271778027494,0.00693943225076785
sp|Q5VTL8|PR38B_HUMAN,-1.11727596131757,0.00282490378424047
sp|P20908|CO5A1_HUMAN,-1.13273327196372,0.0029439253961598
sp|P62306|RUXF_HUMAN,-1.13348482431232,0.00276635763157798
sp|Q71UI9|H2AV_HUMAN;sp|P0C0S5|H2AZ_HUMAN,-1.14275391212626,0.0231749331974829
sp|Q7RTP6|MICA3_HUMAN,-1.15030517185182,0.00561660037547934
sp|Q7L014|DDX46_HUMAN,-1.16070854654864,0.00393582290391598
sp|Q9Y6A4|CFA20_HUMAN,-1.17050323574884,0.00772527482016264
sp|P17812|PYRG1_HUMAN,-1.17218387753783,0.00910756598527759
sp|Q9Y2K5|R3HD2_HUMAN,-1.18670562259392,0.00166617682900333
sp|Q6YHK3|CD109_HUMAN,-1.2038629641202,0.00317096440101014
sp|Q9H2D6|TARA_HUMAN,-1.21221733195376,0.00803956499008852
sp|P49756|RBM25_HUMAN,-1.22300097729601,0.00561660037547934
sp|Q9UKV3|ACINU_HUMAN,-1.22976179546417,0.00820579434992433
sp|Q07021|C1QBP_HUMAN,-1.23869581922615,0.00244455034636329
sp|P15311|EZRI_HUMAN,-1.25185791600545,0.00291894572185089
sp|Q9UHX1|PUF60_HUMAN,-1.26026214939032,0.00221180933712084
sp|P22061|PIMT_HUMAN,-1.27478708830922,0.00330157509030021
sp|Q9ULJ8|NEB1_HUMAN,-1.28847221190155,0.00531328787018475
sp|Q9Y3E1|HDGR3_HUMAN,-1.30482407385171,0.00442726646158909
sp|Q8WXA9|SREK1_HUMAN,-1.32426703076739,0.00324891014292389
sp|P09012|SNRPA_HUMAN;sp|P08579|RU2B_HUMAN,-1.33148969376207,0.00221180933712084
sp|Q02818|NUCB1_HUMAN,-1.35435019902792,0.00404036538525113
sp|Q9BVS4|RIOK2_HUMAN,-1.35588023554952,0.00433555173104514
sp|P04040|CATA_HUMAN,-1.43325926707737,0.0160890451107316
sp|P02751|FINC_HUMAN,-1.45382151696457,0.00409906723842407
sp|P15884|ITF2_HUMAN,-1.47827020069943,0.00404036538525113
sp|Q66PJ3|AR6P4_HUMAN,-1.49293025814973,0.00166617682900333
sp|P06310|KV230_HUMAN;sp|P01615|KVD28_HUMAN;sp|A2NJV5|KV229_HUMAN;sp|A0A0A0MRZ7|KVD26_HUMAN;sp|A0A075B6S6|KVD30_HUMAN;sp|A0A075B6S2|KVD29_HUMAN;sp|A0A075B6P5|KV228_HUMAN;sp|P01614|KVD40_HUMAN;sp|A0A087WW87|KV240_HUMAN,-1.5399297598398,0.0117736786445381
sp|Q92665|RT31_HUMAN,-1.55103086484376,0.00653311896311451
sp|Q9UHB9|SRP68_HUMAN,-1.56904588960865,0.0273576485237512
sp|O14950|ML12B_HUMAN;sp|P24844|MYL9_HUMAN,-1.59478640092178,0.00780539470976905
sp|P18206|VINC_HUMAN,-1.70404005684013,0.0026048624985464
sp|Q8TA86|RP9_HUMAN,-1.71889410566974,0.00563894533373092
sp|P52732|KIF11_HUMAN,-1.72054179034888,0.00102005024298922
sp|Q5M775|CYTSB_HUMAN,-1.72951420021908,0.00237615741971551
sp|P04083|ANXA1_HUMAN,-1.78376412122638,0.00375458368699043
sp|Q05707|COEA1_HUMAN,-1.83190912111096,0.00330157509030021
sp|P17096|HMGA1_HUMAN,-1.85090512959637,0.00404036538525113
sp|Q8TEC5|SH3R2_HUMAN,-1.96442803993518,0.00853479457274888
sp|Q8IVU3|HERC6_HUMAN,-2.11284922945853,0.0037748404423886
sp|O75396|SC22B_HUMAN,-2.35975257827961,0.0024939208986372
sp|Q460N5|PAR14_HUMAN,-2.55834138499617,0.00463335031747515
